Data,Kraków - ul. Złoty Róg (pył zawieszony PM10 [jednostka ug/m3]),
2017-01-01,-,
2017-01-02,-,
2017-01-03,35.80,
2017-01-04,11.44,
2017-01-05,17.38,
2017-01-06,32.97,
2017-01-07,136.42,
2017-01-08,200.47,
2017-01-09,176.40,
2017-01-10,144.17,
2017-01-11,254.12,
2017-01-12,40.21,
2017-01-13,42.03,
2017-01-14,34.31,
2017-01-15,45.19,
2017-01-16,73.22,
2017-01-17,73.89,
2017-01-18,39.07,
2017-01-19,83.41,
2017-01-20,139.55,
2017-01-21,101.99,
2017-01-22,68.19,
2017-01-23,147.89,
2017-01-24,96.02,
2017-01-25,163.54,
2017-01-26,108.49,
2017-01-27,213.82,
2017-01-28,221.37,
2017-01-29,207.81,
2017-01-30,299.27,
2017-01-31,204.23,
2017-02-01,167.40,
2017-02-02,133.69,
2017-02-03,150.90,
2017-02-04,69.74,
2017-02-05,84.24,
2017-02-06,76.59,
2017-02-07,41.30,
2017-02-08,38.59,
2017-02-09,57.23,
2017-02-10,61.61,
2017-02-11,60.72,
2017-02-12,49.05,
2017-02-13,65.64,
2017-02-14,146.35,
2017-02-15,230.18,
2017-02-16,157.75,
2017-02-17,124.10,
2017-02-18,78.96,
2017-02-19,77.14,
2017-02-20,56.77,
2017-02-21,14.11,
2017-02-22,16.73,
2017-02-23,19.48,
2017-02-24,14.28,
2017-02-25,35.98,
2017-02-26,45.16,
2017-02-27,54.62,
2017-02-28,51.33,
2017-03-01,27.11,
2017-03-02,40.42,
2017-03-03,45.86,
2017-03-04,50.70,
2017-03-05,21.07,
2017-03-06,27.44,
2017-03-07,57.98,
2017-03-08,50.41,
2017-03-09,65.06,
2017-03-10,55.70,
2017-03-11,32.43,
2017-03-12,31.70,
2017-03-13,45.98,
2017-03-14,116.24,
2017-03-15,90.96,
2017-03-16,47.17,
2017-03-17,50.50,
2017-03-18,17.94,
2017-03-19,13.42,
2017-03-20,28.85,
2017-03-21,63.02,
2017-03-22,55.02,
2017-03-23,28.77,
2017-03-24,66.67,
2017-03-25,66.38,
2017-03-26,26.57,
2017-03-27,64.42,
2017-03-28,65.11,
2017-03-29,-,
2017-03-30,49.38,
2017-03-31,67.87,
2017-04-01,49.50,
2017-04-02,47.85,
2017-04-03,31.12,
2017-04-04,36.80,
2017-04-05,45.98,
2017-04-06,20.28,
2017-04-07,20.66,
2017-04-08,16.66,
2017-04-09,36.92,
2017-04-10,40.36,
2017-04-11,25.80,
2017-04-12,25.61,
2017-04-13,15.76,
2017-04-14,27.24,
2017-04-15,37.71,
2017-04-16,17.28,
2017-04-17,21.09,
2017-04-18,12.47,
2017-04-19,14.45,
2017-04-20,16.63,
2017-04-21,35.94,
2017-04-22,20.70,
2017-04-23,16.89,
2017-04-24,23.78,
2017-04-25,29.86,
2017-04-26,18.19,
2017-04-27,11.86,
2017-04-28,14.48,
2017-04-29,31.56,
2017-04-30,32.24,
2017-05-01,21.30,
2017-05-02,27.22,
2017-05-03,31.07,
2017-05-04,27.63,
2017-05-05,22.44,
2017-05-06,26.78,
2017-05-07,27.85,
2017-05-08,-,
2017-05-09,13.05,
2017-05-10,28.29,
2017-05-11,33.75,
2017-05-12,19.26,
2017-05-13,33.92,
2017-05-14,28.35,
2017-05-15,26.34,
2017-05-16,30.24,
2017-05-17,30.53,
2017-05-18,29.64,
2017-05-19,33.41,
2017-05-20,37.98,
2017-05-21,23.56,
2017-05-22,21.68,
2017-05-23,26.74,
2017-05-24,21.77,
2017-05-25,20.62,
2017-05-26,24.25,
2017-05-27,19.27,
2017-05-28,19.98,
2017-05-29,24.75,
2017-05-30,25.87,
2017-05-31,18.80,
2017-06-01,21.84,
2017-06-02,26.62,
2017-06-03,24.23,
2017-06-04,20.50,
2017-06-05,17.41,
2017-06-06,23.79,
2017-06-07,-,
2017-06-08,19.55,
2017-06-09,22.73,
2017-06-10,23.53,
2017-06-11,19.80,
2017-06-12,23.98,
2017-06-13,21.69,
2017-06-14,21.08,
2017-06-15,22.16,
2017-06-16,20.13,
2017-06-17,11.59,
2017-06-18,15.98,
2017-06-19,27.04,
2017-06-20,28.76,
2017-06-21,22.25,
2017-06-22,33.33,
2017-06-23,24.33,
2017-06-24,30.21,
2017-06-25,26.65,
2017-06-26,21.98,
2017-06-27,23.17,
2017-06-28,31.65,
2017-06-29,18.99,
2017-06-30,12.51,
2017-07-01,11.02,
2017-07-02,9.44,
2017-07-03,14.83,
2017-07-04,19.59,
2017-07-05,21.51,
2017-07-06,15.44,
2017-07-07,22.58,
2017-07-08,23.02,
2017-07-09,16.84,
2017-07-10,28.77,
2017-07-11,18.59,
2017-07-12,23.94,
2017-07-13,12.96,
2017-07-14,22.06,
2017-07-15,17.02,
2017-07-16,18.39,
2017-07-17,24.04,
2017-07-18,30.32,
2017-07-19,28.61,
2017-07-20,28.07,
2017-07-21,20.19,
2017-07-22,16.29,
2017-07-23,17.07,
2017-07-24,18.59,
2017-07-25,17.88,
2017-07-26,15.90,
2017-07-27,14.90,
2017-07-28,14.54,
2017-07-29,24.21,
2017-07-30,19.32,
2017-07-31,30.91,
2017-08-01,40.47,
2017-08-02,46.38,
2017-08-03,43.02,
2017-08-04,41.20,
2017-08-05,32.93,
2017-08-06,26.31,
2017-08-07,19.14,
2017-08-08,-,
2017-08-09,30.31,
2017-08-10,51.24,
2017-08-11,39.96,
2017-08-12,19.28,
2017-08-13,13.51,
2017-08-14,22.72,
2017-08-15,18.71,
2017-08-16,24.57,
2017-08-17,24.13,
2017-08-18,30.42,
2017-08-19,23.43,
2017-08-20,6.26,
2017-08-21,15.54,
2017-08-22,17.82,
2017-08-23,20.28,
2017-08-24,27.45,
2017-08-25,35.87,
2017-08-26,37.22,
2017-08-27,26.00,
2017-08-28,20.11,
2017-08-29,22.53,
2017-08-30,29.21,
2017-08-31,37.62,
2017-09-01,33.48,
2017-09-02,10.27,
2017-09-03,9.07,
2017-09-04,15.87,
2017-09-05,20.02,
2017-09-06,23.91,
2017-09-07,15.93,
2017-09-08,20.14,
2017-09-09,27.65,
2017-09-10,25.03,
2017-09-11,26.70,
2017-09-12,12.30,
2017-09-13,12.07,
2017-09-14,10.64,
2017-09-15,13.10,
2017-09-16,21.30,
2017-09-17,17.35,
2017-09-18,22.49,
2017-09-19,29.29,
2017-09-20,11.27,
2017-09-21,12.40,
2017-09-22,15.99,
2017-09-23,17.28,
2017-09-24,17.71,
2017-09-25,19.66,
2017-09-26,34.25,
2017-09-27,35.58,
2017-09-28,33.21,
2017-09-29,64.97,
2017-09-30,55.51,
2017-10-01,44.63,
2017-10-02,55.08,
2017-10-03,39.78,
2017-10-04,26.02,
2017-10-05,23.48,
2017-10-06,12.07,
2017-10-07,-,
2017-10-08,-,
2017-10-09,-,
2017-10-10,29.61,
2017-10-11,20.06,
2017-10-12,29.96,
2017-10-13,44.85,
2017-10-14,59.41,
2017-10-15,41.96,
2017-10-16,64.91,
2017-10-17,86.55,
2017-10-18,88.65,
2017-10-19,81.30,
2017-10-20,89.51,
2017-10-21,61.85,
2017-10-22,42.75,
2017-10-23,24.34,
2017-10-24,24.11,
2017-10-25,43.57,
2017-10-26,36.86,
2017-10-27,24.44,
2017-10-28,14.33,
2017-10-29,9.30,
2017-10-30,17.05,
2017-10-31,32.88,
2017-11-01,18.91,
2017-11-02,21.89,
2017-11-03,25.59,
2017-11-04,43.65,
2017-11-05,34.93,
2017-11-06,48.16,
2017-11-07,45.29,
2017-11-08,40.63,
2017-11-09,62.97,
2017-11-10,36.63,
2017-11-11,19.09,
2017-11-12,14.95,
2017-11-13,24.24,
2017-11-14,36.28,
2017-11-15,96.12,
2017-11-16,106.09,
2017-11-17,79.96,
2017-11-18,53.03,
2017-11-19,22.55,
2017-11-20,20.16,
2017-11-21,30.65,
2017-11-22,60.72,
2017-11-23,88.54,
2017-11-24,109.18,
2017-11-25,81.95,
2017-11-26,32.57,
2017-11-27,68.80,
2017-11-28,65.32,
2017-11-29,97.81,
2017-11-30,46.76,
2017-12-01,54.13,
2017-12-02,94.31,
2017-12-03,47.22,
2017-12-04,33.10,
2017-12-05,25.78,
2017-12-06,24.41,
2017-12-07,47.94,
2017-12-08,48.20,
2017-12-09,46.92,
2017-12-10,16.24,
2017-12-11,26.25,
2017-12-12,23.55,
2017-12-13,60.16,
2017-12-14,67.75,
2017-12-15,46.04,
2017-12-16,87.39,
2017-12-17,93.98,
2017-12-18,70.70,
2017-12-19,61.63,
2017-12-20,86.30,
2017-12-21,46.62,
2017-12-22,28.62,
2017-12-23,20.74,
2017-12-24,13.88,
2017-12-25,27.32,
