Data,Kraków - ul. Złoty Róg (pył zawieszony PM10 [jednostka ug/m3]),
2019-04-11,33.67,
2019-04-12,23.56,
2019-04-13,38.51,
2019-04-14,31.60,
2019-04-15,31.20,
2019-04-16,37.16,
2019-04-17,36.36,
2019-04-18,44.12,
2019-04-19,50.76,
2019-04-20,35.43,
2019-04-21,22.50,
2019-04-22,22.91,
2019-04-23,26.49,
2019-04-24,29.75,
2019-04-25,39.32,
2019-04-26,58.22,
2019-04-27,31.17,
2019-04-28,20.53,
2019-04-29,12.85,
2019-04-30,15.69,
2019-05-01,22.67,
2019-05-02,29.61,
2019-05-03,30.35,
2019-05-04,21.50,
2019-05-05,13.59,
2019-05-06,16.66,
2019-05-07,24.34,
2019-05-08,33.73,
2019-05-09,26.79,
2019-05-10,20.67,
2019-05-11,19.93,
2019-05-12,22.12,
2019-05-13,13.84,
2019-05-14,10.56,
2019-05-15,10.30,
2019-05-16,18.73,
2019-05-17,28.64,
2019-05-18,20.90,
2019-05-19,20.70,
2019-05-20,22.29,
2019-05-21,19.90,
2019-05-22,13.96,
2019-05-23,12.32,
2019-05-24,32.04,
2019-05-25,28.96,
2019-05-26,30.13,
2019-05-27,26.74,
2019-05-28,25.04,
2019-05-29,15.40,
2019-05-30,18.44,
2019-05-31,36.12,
2019-06-01,27.58,
2019-06-02,19.01,
2019-06-03,-,
2019-06-04,-,
2019-06-05,-,
2019-06-06,19.81,
2019-06-07,25.31,
2019-06-08,29.13,
2019-06-09,17.48,
2019-06-10,-,
2019-06-11,41.42,
2019-06-12,32.70,
2019-06-13,40.48,
2019-06-14,49.98,
2019-06-15,45.63,
2019-06-16,27.02,
2019-06-17,27.29,
2019-06-18,33.82,
2019-06-19,34.21,
2019-06-20,20.83,
2019-06-21,25.38,
2019-06-22,19.88,
2019-06-23,14.27,
2019-06-24,20.02,
2019-06-25,30.86,
2019-06-26,32.97,
2019-06-27,35.23,
2019-06-28,23.10,
2019-06-29,18.68,
2019-06-30,19.76,
2019-07-01,34.22,
2019-07-02,25.04,
2019-07-03,23.12,
2019-07-04,24.33,
2019-07-05,29.39,
2019-07-06,25.07,
2019-07-07,19.23,
2019-07-08,17.90,
2019-07-09,-,
2019-07-10,20.64,
2019-07-11,16.70,
2019-07-12,18.31,
2019-07-13,18.71,
2019-07-14,-,
2019-07-15,19.09,
2019-07-16,21.91,
2019-07-17,19.91,
2019-07-18,24.54,
2019-07-19,23.87,
2019-07-20,19.54,
2019-07-21,19.53,
2019-07-22,-,
2019-07-23,18.42,
2019-07-24,22.54,
2019-07-25,20.58,
2019-07-26,29.75,
2019-07-27,22.49,
2019-07-28,18.35,
2019-07-29,22.50,
2019-07-30,25.01,
2019-07-31,30.57,
2019-08-01,24.76,
2019-08-02,23.13,
2019-08-03,15.49,
2019-08-04,18.46,
2019-08-05,18.14,
2019-08-06,21.82,
2019-08-07,21.67,
2019-08-08,17.64,
2019-08-09,-,
2019-08-10,22.31,
2019-08-11,-,
2019-08-12,-,
2019-08-13,-,
2019-08-14,15.84,
2019-08-15,20.15,
2019-08-16,19.73,
2019-08-17,16.48,
2019-08-18,15.78,
2019-08-19,19.32,
2019-08-20,15.19,
2019-08-21,14.64,
2019-08-22,16.43,
2019-08-23,24.69,
2019-08-24,22.78,
2019-08-25,25.24,
2019-08-26,35.97,
2019-08-27,39.77,
2019-08-28,31.82,
2019-08-29,30.04,
2019-08-30,30.60,
2019-08-31,25.15,
2019-09-01,29.38,
2019-09-02,17.73,
2019-09-03,15.93,
2019-09-04,23.11,
2019-09-05,25.69,
2019-09-06,22.50,
2019-09-07,26.32,
2019-09-08,-,
2019-09-09,18.65,
2019-09-10,10.64,
2019-09-11,25.00,
2019-09-12,29.23,
2019-09-13,24.70,
2019-09-14,18.65,
2019-09-15,20.24,
2019-09-16,24.20,
2019-09-17,18.12,
2019-09-18,16.44,
2019-09-19,17.50,
2019-09-20,24.24,
2019-09-21,29.76,
2019-09-22,28.55,
2019-09-23,34.07,
2019-09-24,52.85,
2019-09-25,57.92,
2019-09-26,25.14,
2019-09-27,23.64,
2019-09-28,16.17,
2019-09-29,13.43,
2019-09-30,-,
2019-10-01,14.51,
2019-10-02,26.79,
2019-10-03,20.37,
2019-10-04,25.00,
2019-10-05,17.10,
2019-10-06,17.11,
2019-10-07,30.20,
2019-10-08,37.41,
2019-10-09,21.20,
2019-10-10,11.65,
2019-10-11,17.04,
2019-10-12,23.97,
2019-10-13,34.97,
2019-10-14,44.31,
2019-10-15,52.87,
2019-10-16,26.69,
2019-10-17,35.72,
2019-10-18,49.94,
2019-10-19,56.48,
2019-10-20,28.43,
2019-10-21,42.24,
2019-10-22,64.35,
2019-10-23,58.31,
2019-10-24,58.96,
2019-10-25,62.85,
2019-10-26,63.48,
2019-10-27,45.56,
2019-10-28,30.30,
2019-10-29,62.33,
2019-10-30,25.38,
2019-10-31,66.72,
2019-11-01,-,
2019-11-02,45.25,
2019-11-03,21.15,
2019-11-04,20.04,
2019-11-05,33.90,
2019-11-06,45.96,
2019-11-07,57.07,
2019-11-08,43.57,
2019-11-09,33.39,
2019-11-10,19.72,
2019-11-11,25.86,
2019-11-12,30.64,
2019-11-13,30.60,
2019-11-14,26.79,
2019-11-15,41.88,
2019-11-16,40.62,
2019-11-17,33.31,
2019-11-18,46.40,
2019-11-19,48.87,
2019-11-20,39.73,
2019-11-21,27.46,
2019-11-22,29.51,
2019-11-23,37.38,
2019-11-24,31.45,
2019-11-25,41.88,
2019-11-26,49.55,
2019-11-27,47.41,
2019-11-28,118.03,
2019-11-29,21.36,
2019-11-30,28.76,
2019-12-01,55.52,
2019-12-02,57.34,
2019-12-03,43.05,
2019-12-04,89.33,
2019-12-05,89.74,
2019-12-06,51.78,
2019-12-07,36.21,
2019-12-08,15.27,
2019-12-09,32.85,
2019-12-10,32.56,
2019-12-11,50.38,
2019-12-12,98.83,
2019-12-13,43.85,
2019-12-14,17.95,
2019-12-15,16.72,
2019-12-16,45.73,
2019-12-17,117.30,
2019-12-18,94.64,
2019-12-19,79.69,
2019-12-20,52.34,
2019-12-21,27.84,
2019-12-22,31.67,
2019-12-23,29.88,
2019-12-24,19.14,
2019-12-25,28.77,
2019-12-26,16.61,
2019-12-27,13.54,
2019-12-28,7.83,
2019-12-29,13.37,
2019-12-30,44.43,
2019-12-31,24.13,
