Data,Kraków - ul. Złoty Róg (pył zawieszony PM10 [jednostka ug/m3]),
2019-01-01,26.54,
2019-01-02,10.70,
2019-01-03,15.58,
2019-01-04,27.53,
2019-01-05,15.11,
2019-01-06,10.50,
2019-01-07,44.34,
2019-01-08,51.64,
2019-01-09,40.17,
2019-01-10,72.64,
2019-01-11,64.60,
2019-01-12,30.74,
2019-01-13,9.06,
2019-01-14,14.43,
2019-01-15,19.36,
2019-01-16,21.82,
2019-01-17,32.65,
2019-01-18,14.69,
2019-01-19,55.40,
2019-01-20,100.09,
2019-01-21,129.33,
2019-01-22,129.54,
2019-01-23,-,
2019-01-24,29.65,
2019-01-25,47.66,
2019-01-26,55.81,
2019-01-27,49.06,
2019-01-28,75.88,
2019-01-29,33.61,
2019-01-30,48.30,
2019-01-31,102.91,
2019-02-01,78.86,
2019-02-02,23.71,
2019-02-03,57.32,
2019-02-04,28.22,
2019-02-05,49.68,
2019-02-06,68.15,
2019-02-07,106.17,
2019-02-08,85.89,
2019-02-09,81.90,
2019-02-10,-,
2019-02-11,12.89,
2019-02-12,17.44,
2019-02-13,27.87,
2019-02-14,39.08,
2019-02-15,52.62,
2019-02-16,78.58,
2019-02-17,87.64,
2019-02-18,143.83,
2019-02-19,118.97,
2019-02-20,41.31,
2019-02-21,41.02,
2019-02-22,15.71,
2019-02-23,22.61,
2019-02-24,67.35,
2019-02-25,66.92,
2019-02-26,44.73,
2019-02-27,57.20,
2019-02-28,57.49,
2019-03-01,64.71,
2019-03-02,38.93,
2019-03-03,52.12,
2019-03-04,27.98,
2019-03-05,16.96,
2019-03-06,30.95,
2019-03-07,34.19,
2019-03-08,14.32,
2019-03-09,13.89,
2019-03-10,8.93,
2019-03-11,15.87,
2019-03-12,26.42,
2019-03-13,34.02,
2019-03-14,15.40,
2019-03-15,11.10,
2019-03-16,14.24,
2019-03-17,21.93,
2019-03-18,22.07,
2019-03-19,45.72,
2019-03-20,94.31,
2019-03-21,84.30,
2019-03-22,74.03,
2019-03-23,56.65,
2019-03-24,49.67,
2019-03-25,27.41,
2019-03-26,22.96,
2019-03-27,32.98,
2019-03-28,60.85,
2019-03-29,71.48,
2019-03-30,78.08,
2019-03-31,59.04,
2019-04-01,18.29,
2019-04-02,35.22,
2019-04-03,48.16,
2019-04-04,58.40,
2019-04-05,49.92,
2019-04-06,46.81,
2019-04-07,32.69,
2019-04-08,43.51,
2019-04-09,46.22,
2019-04-10,33.52,
