Data,Kraków - ul. Złoty Róg (pył zawieszony PM10 [jednostka ug/m3]),
2018-01-01,73.81,
2018-01-02,79.96,
2018-01-03,25.27,
2018-01-04,22.16,
2018-01-05,33.93,
2018-01-06,76.53,
2018-01-07,45.07,
2018-01-08,23.18,
2018-01-09,37.97,
2018-01-10,56.14,
2018-01-11,52.00,
2018-01-12,31.95,
2018-01-13,25.15,
2018-01-14,24.55,
2018-01-15,77.16,
2018-01-16,59.65,
2018-01-17,20.87,
2018-01-18,22.62,
2018-01-19,28.11,
2018-01-20,86.61,
2018-01-21,68.46,
2018-01-22,57.73,
2018-01-23,77.03,
2018-01-24,108.02,
2018-01-25,110.76,
2018-01-26,185.59,
2018-01-27,164.49,
2018-01-28,53.89,
2018-01-29,14.39,
2018-01-30,14.16,
2018-01-31,60.68,
2018-02-01,82.90,
2018-02-02,40.62,
2018-02-03,106.26,
2018-02-04,71.42,
2018-02-05,28.13,
2018-02-06,83.27,
2018-02-07,87.18,
2018-02-08,81.57,
2018-02-09,107.20,
2018-02-10,94.24,
2018-02-11,76.43,
2018-02-12,104.52,
2018-02-13,105.12,
2018-02-14,41.21,
2018-02-15,55.53,
2018-02-16,87.39,
2018-02-17,87.28,
2018-02-18,51.06,
2018-02-19,40.48,
2018-02-20,63.20,
2018-02-21,55.56,
2018-02-22,37.16,
2018-02-23,41.99,
2018-02-24,44.84,
2018-02-25,40.21,
2018-02-26,55.39,
2018-02-27,38.87,
2018-02-28,43.02,
2018-03-01,98.57,
2018-03-02,92.47,
2018-03-03,100.02,
2018-03-04,161.56,
2018-03-05,145.24,
2018-03-06,94.48,
2018-03-07,89.82,
2018-03-08,72.33,
2018-03-09,62.34,
2018-03-10,-,
2018-03-11,-,
2018-03-12,-,
2018-03-13,33.12,
2018-03-14,48.53,
2018-03-15,42.59,
2018-03-16,36.49,
2018-03-17,19.80,
2018-03-18,25.76,
2018-03-19,28.79,
2018-03-20,47.49,
2018-03-21,57.81,
2018-03-22,80.30,
2018-03-23,116.38,
2018-03-24,89.55,
2018-03-25,76.33,
2018-03-26,86.09,
2018-03-27,64.82,
2018-03-28,50.15,
2018-03-29,56.65,
2018-03-30,49.76,
2018-03-31,29.31,
2018-04-01,27.37,
2018-04-02,27.89,
2018-04-03,42.51,
2018-04-04,56.05,
2018-04-05,39.32,
2018-04-06,30.72,
2018-04-07,42.65,
2018-04-08,35.64,
2018-04-09,42.72,
2018-04-10,55.89,
2018-04-11,52.13,
2018-04-12,77.03,
2018-04-13,64.92,
2018-04-14,34.36,
2018-04-15,36.41,
2018-04-16,60.23,
2018-04-17,35.61,
2018-04-18,36.09,
2018-04-19,35.56,
2018-04-20,-,
2018-04-21,35.45,
2018-04-22,20.79,
2018-04-23,36.59,
2018-04-24,38.11,
2018-04-25,38.25,
2018-04-26,24.63,
2018-04-27,23.00,
2018-04-28,34.91,
2018-04-29,35.47,
2018-04-30,41.55,
2018-05-01,26.16,
2018-05-02,41.00,
2018-05-03,37.67,
2018-05-04,29.57,
2018-05-05,21.52,
2018-05-06,19.61,
2018-05-07,31.34,
2018-05-08,30.03,
2018-05-09,33.29,
2018-05-10,39.84,
2018-05-11,35.33,
2018-05-12,30.63,
2018-05-13,23.67,
2018-05-14,28.75,
2018-05-15,24.69,
2018-05-16,24.06,
2018-05-17,12.46,
2018-05-18,34.84,
2018-05-19,22.28,
2018-05-20,19.58,
2018-05-21,27.49,
2018-05-22,27.72,
2018-05-23,30.47,
2018-05-24,18.88,
2018-05-25,25.46,
2018-05-26,23.63,
2018-05-27,25.85,
2018-05-28,39.48,
2018-05-29,36.04,
2018-05-30,36.49,
2018-05-31,31.95,
2018-06-01,31.53,
2018-06-02,24.88,
2018-06-03,25.82,
2018-06-04,35.83,
2018-06-05,41.36,
2018-06-06,22.43,
2018-06-07,28.29,
2018-06-08,32.87,
2018-06-09,29.19,
2018-06-10,26.90,
2018-06-11,29.55,
2018-06-12,26.36,
2018-06-13,23.09,
2018-06-14,23.54,
2018-06-15,18.85,
2018-06-16,23.61,
2018-06-17,18.38,
2018-06-18,26.43,
2018-06-19,31.31,
2018-06-20,31.31,
2018-06-21,29.15,
2018-06-22,20.12,
2018-06-23,14.66,
2018-06-24,8.74,
2018-06-25,16.44,
2018-06-26,15.29,
2018-06-27,15.54,
2018-06-28,17.62,
2018-06-29,28.10,
2018-06-30,17.42,
2018-07-01,10.66,
2018-07-02,14.89,
2018-07-03,23.36,
2018-07-04,27.17,
2018-07-05,33.70,
2018-07-06,33.87,
2018-07-07,23.70,
2018-07-08,21.89,
2018-07-09,28.61,
2018-07-10,28.91,
2018-07-11,27.82,
2018-07-12,18.58,
2018-07-13,15.81,
2018-07-14,21.39,
2018-07-15,19.13,
2018-07-16,27.45,
2018-07-17,16.24,
2018-07-18,12.78,
2018-07-19,19.51,
2018-07-20,30.64,
2018-07-21,38.83,
2018-07-22,34.07,
2018-07-23,42.06,
2018-07-24,49.92,
2018-07-25,38.94,
2018-07-26,27.01,
2018-07-27,34.78,
2018-07-28,33.67,
2018-07-29,25.29,
2018-07-30,25.35,
2018-07-31,-,
2018-08-01,31.93,
2018-08-02,29.88,
2018-08-03,31.99,
2018-08-04,34.22,
2018-08-05,27.55,
2018-08-06,20.19,
2018-08-07,26.30,
2018-08-08,33.97,
2018-08-09,31.23,
2018-08-10,30.43,
2018-08-11,13.26,
2018-08-12,17.43,
2018-08-13,23.42,
2018-08-14,34.95,
2018-08-15,13.59,
2018-08-16,21.43,
2018-08-17,27.60,
2018-08-18,31.65,
2018-08-19,29.99,
2018-08-20,33.59,
2018-08-21,25.17,
2018-08-22,31.08,
2018-08-23,36.90,
2018-08-24,46.27,
2018-08-25,26.03,
2018-08-26,14.35,
2018-08-27,20.54,
2018-08-28,28.94,
2018-08-29,33.08,
2018-08-30,32.79,
2018-08-31,27.27,
2018-09-01,31.31,
2018-09-02,34.98,
2018-09-03,35.10,
2018-09-04,25.69,
2018-09-05,28.34,
2018-09-06,30.89,
2018-09-07,38.61,
2018-09-08,34.52,
2018-09-09,22.41,
2018-09-10,36.89,
2018-09-11,38.02,
2018-09-12,42.93,
2018-09-13,53.17,
2018-09-14,42.91,
2018-09-15,14.18,
2018-09-16,23.97,
2018-09-17,31.41,
2018-09-18,39.05,
2018-09-19,48.56,
2018-09-20,50.25,
2018-09-21,56.40,
2018-09-22,18.08,
2018-09-23,13.01,
2018-09-24,9.15,
2018-09-25,14.54,
2018-09-26,23.73,
2018-09-27,22.41,
2018-09-28,30.35,
2018-09-29,19.95,
2018-09-30,31.96,
2018-10-01,41.90,
2018-10-02,24.23,
2018-10-03,15.38,
2018-10-04,32.11,
2018-10-05,50.61,
2018-10-06,43.05,
2018-10-07,39.73,
2018-10-08,23.30,
2018-10-09,49.71,
2018-10-10,-,
2018-10-11,56.34,
2018-10-12,66.88,
2018-10-13,67.58,
2018-10-14,53.67,
2018-10-15,59.97,
2018-10-16,73.78,
2018-10-17,91.58,
2018-10-18,102.90,
2018-10-19,111.06,
2018-10-20,59.14,
2018-10-21,31.17,
2018-10-22,61.89,
2018-10-23,21.19,
2018-10-24,14.04,
2018-10-25,13.18,
2018-10-26,34.72,
2018-10-27,47.23,
2018-10-28,13.89,
2018-10-29,37.70,
2018-10-30,40.36,
2018-10-31,43.00,
2018-11-01,-,
2018-11-02,-,
2018-11-03,43.29,
2018-11-04,27.12,
2018-11-05,52.79,
2018-11-06,56.80,
2018-11-07,67.18,
2018-11-08,91.92,
2018-11-09,104.51,
2018-11-10,101.26,
2018-11-11,83.85,
2018-11-12,85.43,
2018-11-13,85.17,
2018-11-14,27.80,
2018-11-15,31.94,
2018-11-16,20.85,
2018-11-17,36.29,
2018-11-18,51.58,
2018-11-19,34.73,
2018-11-20,41.18,
2018-11-21,32.74,
2018-11-22,52.53,
2018-11-23,81.84,
2018-11-24,61.07,
2018-11-25,50.34,
2018-11-26,28.25,
2018-11-27,28.37,
2018-11-28,44.57,
2018-11-29,49.45,
2018-11-30,-,
2018-12-01,71.74,
2018-12-02,75.83,
2018-12-03,41.73,
2018-12-04,36.31,
2018-12-05,51.91,
2018-12-06,95.79,
2018-12-07,55.62,
2018-12-08,34.79,
2018-12-09,8.58,
2018-12-10,15.15,
2018-12-11,24.34,
2018-12-12,37.22,
2018-12-13,71.49,
2018-12-14,33.00,
2018-12-15,19.22,
2018-12-16,43.05,
2018-12-17,117.58,
2018-12-18,104.59,
2018-12-19,70.46,
2018-12-20,82.60,
2018-12-21,64.95,
2018-12-22,10.70,
2018-12-23,21.22,
2018-12-24,12.36,
2018-12-25,18.07,
2018-12-26,19.74,
2018-12-27,19.17,
2018-12-28,24.51,
2018-12-29,18.07,
2018-12-30,15.58,
2018-12-31,17.76,
